role,stage_order,stage,split,threshold_type,threshold,n_features_raw,n_features_encoded,best_iteration,accuracy,roc_auc,pr_auc,f1,precision,recall,mcc,brier,predicted_positive_rate
bullpen,4,D_plus_personal_delta,test,validation_selected,0.48928582668304443,111,129,9,0.7884588017646221,0.5140773664042179,0.024363060458667485,0.04589216944801027,0.02570093457943925,0.21407185628742514,0.006312648528273835,0.20687581598758698,0.1979507613490821
bullpen,5,E_plus_runner_gap,val,0.5,0.5,116,134,41,0.9126795121599192,0.5317012785984678,0.028259103479884726,0.04574132492113565,0.030801911842804036,0.0888208269525268,0.012887023376035036,0.12769228219985962,0.06794399942267446
bullpen,5,E_plus_runner_gap,val,validation_selected,0.4104975759983063,116,134,41,0.7753842823121888,0.5317012785984678,0.028259103479884726,0.05638926784902228,0.031292059219380886,0.28483920367534454,0.026629203087131095,0.12769228219985962,0.21447643790142165
bullpen,5,E_plus_runner_gap,test,0.5,0.5,116,134,41,0.9337910915041981,0.5302405575147082,0.025908656146952605,0.034250129735339904,0.026211278792692614,0.04940119760479042,0.0034771217735068403,0.11653084307909012,0.044791518428917036
bullpen,5,E_plus_runner_gap,test,validation_selected,0.4104975759983063,116,134,41,0.8249252881741853,0.5302405575147082,0.025908656146952605,0.04834654805646877,0.027759271596713302,0.18712574850299402,0.011452082361602207,0.11653084307909012,0.16020350078269532
starter,1,A_demographics_workload,val,0.5,0.5,11,33,4,0.5770966975528629,0.5840697914619325,0.04790310045053808,0.07001044932079414,0.037388392857142856,0.5491803278688525,0.04312765259834493,0.2474856823682785,0.4257543359467807
starter,1,A_demographics_workload,val,validation_selected,0.506613552570343,11,33,4,0.8262057495842243,0.5840697914619325,0.04790310045053808,0.08847352024922119,0.05216752387950037,0.29098360655737704,0.06068298121699199,0.2474856823682785,0.16167735804229033
starter,1,A_demographics_workload,test,0.5,0.5,11,33,4,0.5345229764404013,0.5295799522317751,0.03897412919448641,0.0668693009118541,0.03588456712672522,0.4897260273972603,0.009392553023979495,0.2478870153427124,0.4647772334966177
starter,1,A_demographics_workload,test,validation_selected,0.506613552570343,11,33,4,0.8289013296011196,0.5295799522317751,0.03897412919448641,0.08025078369905957,0.04911742133537989,0.2191780821917808,0.03515220445764476,0.2478870153427124,0.15197107534406346
starter,2,B_plus_injury_history,val,0.5,0.5,17,39,12,0.710263720598717,0.5543486544701914,0.04639084050458517,0.07227082540890073,0.039832285115303984,0.38934426229508196,0.04065134945382257,0.22747188806533813,0.2833214540270848
starter,2,B_plus_injury_history,val,validation_selected,0.5389958620071411,17,39,12,0.9528391541933952,0.5543486544701914,0.04639084050458517,0.09977324263038549,0.1116751269035533,0.09016393442622951,0.07629893480029123,0.22747188806533813,0.02340223330957472
starter,2,B_plus_injury_history,test,0.5,0.5,17,39,12,0.6747142523909494,0.5190295508000516,0.03525762574581791,0.06691201070592172,0.03707823507601038,0.3424657534246575,0.011286276318489183,0.2278670370578766,0.314555633310007
starter,2,B_plus_injury_history,test,validation_selected,0.5389958620071411,17,39,12,0.95358059248892,0.5190295508000516,0.03525762574581791,0.0,0.0,0.0,-0.02100807796990262,0.2278670370578766,0.012362957779332866
starter,3,C_plus_absolute_statcast,val,0.5,0.5,64,76,47,0.7440009503444999,0.5535526980790753,0.05087212541892306,0.06181976491075316,0.0345835362883585,0.29098360655737704,0.01895078085288166,0.19553454220294952,0.24388215728201473
starter,3,C_plus_absolute_statcast,val,validation_selected,0.45315974950790405,64,76,47,0.5751960085531005,0.5535526980790753,0.05087212541892306,0.06631853785900783,0.03541550474065811,0.5204918032786885,0.03301787925831204,0.19553454220294952,0.425991922071751
starter,3,C_plus_absolute_statcast,test,0.5,0.5,64,76,47,0.7425938885001167,0.5291463910841468,0.039042761052451164,0.06995364517488412,0.03988467083133109,0.2842465753424658,0.018191721464243468,0.196207195520401,0.24271052017728015
starter,3,C_plus_absolute_statcast,test,validation_selected,0.45315974950790405,64,76,47,0.5747609050618148,0.5291463910841468,0.039042761052451164,0.07226463104325699,0.03903243540406817,0.4863013698630137,0.023553059728346183,0.196207195520401,0.4243060415208771
starter,4,D_plus_personal_delta,val,0.5,0.5,111,122,49,0.8793062485150868,0.553166627892518,0.04013512127622665,0.0712979890310786,0.04588235294117647,0.1598360655737705,0.03375368792594424,0.16301830112934113,0.10097410311237824
starter,4,D_plus_personal_delta,val,validation_selected,0.5108713507652283,111,122,49,0.896887621762889,0.553166627892518,0.04013512127622665,0.07659574468085106,0.05172413793103448,0.14754098360655737,0.0406912209103176,0.16301830112934113,0.08267997148966501
starter,4,D_plus_personal_delta,test,0.5,0.5,111,122,49,0.9052950781432237,0.49950027787610035,0.036977761585158225,0.058004640371229696,0.043859649122807015,0.08561643835616438,0.014423682841439115,0.15321914851665497,0.06648005598320504
starter,4,D_plus_personal_delta,test,validation_selected,0.5108713507652283,111,122,49,0.9182411943083741,0.49950027787610035,0.036977761585158225,0.05906040268456376,0.04856512141280353,0.07534246575342465,0.018892804876319176,0.15321914851665497,0.05283414975507348
starter,5,E_plus_runner_gap,val,0.5,0.5,116,127,20,0.8430743644571157,0.5452920495613842,0.04152830652471423,0.05440229062276306,0.03295750216825672,0.1557377049180328,0.0094319658677458,0.20299512147903442,0.13696840104537894
starter,5,E_plus_runner_gap,val,validation_selected,0.47582003474235535,116,127,20,0.7124019957234498,0.5452920495613842,0.04152830652471423,0.06848787995382839,0.03779193205944798,0.36475409836065575,0.03271508060921502,0.20299512147903442,0.2797576621525303
starter,5,E_plus_runner_gap,test,0.5,0.5,116,127,20,0.8689059948682062,0.4884565636650534,0.03408202291398088,0.04745762711864407,0.03153153153153153,0.0958904109589041,-0.004731818152908939,0.196669802069664,0.10356892932120364
starter,5,E_plus_runner_gap,test,validation_selected,0.47582003474235535,116,127,20,0.7634709587123862,0.4884565636650534,0.03408202291398088,0.055865921787709494,0.032327586206896554,0.2054794520547945,-0.005010189336744991,0.196669802069664,0.21646839281548869
