role,feature,rank,mean_abs_shap,mean_shap,group,shap_share
starter,delta_w_zFB,17,0.0066137565,-0.0028850029,personal delta,0.011454188
starter,delta_w_xCT,18,0.00629253,-0.003292532,personal delta,0.010897865
starter,w_xSP,19,0.0062457714,0.0012796735,absolute Statcast,0.010816885
starter,w_spinFB,20,0.006128116,-0.004203713,absolute Statcast,0.01061312
starter,w_zCB,21,0.0060184416,-0.0037200383,absolute Statcast,0.010423179
starter,delta_w_vCB,22,0.0057676956,-0.0046330215,personal delta,0.009988918
starter,w_xFB,23,0.005698746,-0.004312793,absolute Statcast,0.009869507
starter,delta_w_xCB,24,0.0055036466,-0.001773467,personal delta,0.009531618
starter,w_spinSP,25,0.0054686256,0.0014763336,absolute Statcast,0.009470967
starter,w_pct_SP,26,0.0053684716,-0.0043245433,absolute Statcast,0.0092975125
starter,delta_w_pct_SI,27,0.005099935,-0.00447769,personal delta,0.008832442
starter,w_zCH,28,0.0050946833,0.0020667277,absolute Statcast,0.008823346
starter,past_365d_IL_days,29,0.0048862514,-0.0012313513,injury history,0.0084623685
starter,w_pct_FB,30,0.004860728,-0.0010515217,absolute Statcast,0.008418165
starter,w_spinSI,31,0.004847414,-0.0029182332,absolute Statcast,0.0083951065
starter,delta_w_v_all,32,0.0047905976,-0.00063075207,personal delta,0.008296708
starter,w_spinSL,33,0.004392855,-0.0025011757,absolute Statcast,0.007607868
starter,delta_w_spin_all,34,0.0043288535,-0.0035528499,personal delta,0.0074970257
starter,w_vFB,35,0.004047684,-0.0037662862,absolute Statcast,0.0070100757
starter,w_spinCH,36,0.004027238,-0.0024740787,absolute Statcast,0.006974666
starter,w_xCB,37,0.0039598676,-0.0025979755,absolute Statcast,0.006857989
starter,delta_w_z_all,38,0.003944424,-0.0016209458,personal delta,0.0068312427
starter,delta_w_spinSI,39,0.0038826633,-0.0022668594,personal delta,0.006724281
starter,w_zSP,40,0.0037891925,-0.0030566659,absolute Statcast,0.0065624015
starter,delta_w_x_all,41,0.003772031,-0.002166281,personal delta,0.00653268
starter,runner_gap_extension,42,0.003651799,-0.0031470477,runner-context gap,0.0063244533
starter,delta_w_extSL,43,0.0034968792,0.002449912,personal delta,0.006056152
starter,delta_w_extSP,44,0.0034817483,0.0010273608,personal delta,0.0060299467
starter,w_spinCT,45,0.0033326847,-0.0009730367,absolute Statcast,0.005771788
starter,weight_lb,46,0.0033056503,-0.0010277282,demographics,0.0057249675
starter,delta_w_spinCB,47,0.0032504715,-0.0024964986,personal delta,0.005629405
starter,days_since_last_IL,48,0.0032494583,-0.0020874639,injury history,0.00562765
starter,delta_w_vCH,49,0.0030849522,-0.0028856918,personal delta,0.0053427466
starter,delta_w_xSL,50,0.0030202821,-0.0020627328,personal delta,0.0052307458
starter,w_vSL,51,0.0028986197,-0.0020356553,absolute Statcast,0.005020042
starter,runner_gap_spin,52,0.0028852674,0.00029578558,runner-context gap,0.0049969177
