feature,importance
lag40_plate_z,0.000657995
lag20_n_batters_faced,0.0006577408
lag85_plate_z,0.0006531209
lag95_plate_x,0.0006492016
lag35_velo,0.00064757204
lag65_spin_CH,0.0006459898
lag90_usage_FB,0.000638434
lag45_spin,0.00063619995
lag90_outs_recorded,0.00063403154
lag25_extension,0.0006277508
lag90_usage_CT,0.00062580255
lag60_spin_CB,0.0006245819
lag30_usage_CB,0.0006145686
lag15_spin_SI,0.0006117837
lag85_outs_recorded,0.0006107071
lag40_spin_SI,0.0006025172
lag20_spin_FB,0.0005951702
lag10_spin_SP,0.0005925848
lag25_usage_CH,0.0005804167
lag10_velo_SI,0.000567436
lag55_extension,0.00056608266
lag90_velo_SL,0.0005586615
lag10_usage_CB,0.0005557655
lag45_usage_FB,0.0005534153
lag30_spin_CH,0.00054763653
lag70_plate_z,0.0005469982
lag45_plate_x,0.00054402545
lag85_velo_CB,0.0005371426
lag85_usage_CH,0.00053675484
lag25_velo_SP,0.0005361058
lag65_usage_FB,0.00053494296
lag30_usage_CT,0.00053429726
lag70_n_pitches,0.00053383474
lag30_spin,0.00053358864
lag55_usage_CH,0.0005323914
lag20_velo_CH,0.0005319328
lag70_spin_SL,0.00052907475
lag65_n_batters_faced,0.0005272295
lag35_n_pitches,0.0005259127
lag35_plate_z,0.00052527076
lag30_extension,0.0005188693
lag85_n_pitches,0.00051743287
lag75_spin_SI,0.00051278446
lag50_velo,0.00051105657
lag10_velo_FB,0.00050976244
lag90_plate_z,0.0004889283
lag35_spin_FB,0.00048833794
lag50_usage_SL,0.0004841943
lag35_usage_CH,0.00048000822
lag90_velo_FB,0.0004782955
lag80_plate_z,0.00047528974
lag55_usage_FB,0.00046385522
lag20_usage_CH,0.00045229035
lag75_spin_FB,0.00044815312
lag65_usage_CB,0.00044722587
lag55_velo_CB,0.00044516125
lag70_spin_SI,0.00044154658
lag45_outs_recorded,0.00043781873
lag25_outs_recorded,0.00041573247
lag65_plate_x,0.00040159965
lag60_usage_CH,0.00039331822
lag65_usage_SL,0.0003901838
lag55_spin_SI,0.00038462618
lag60_n_pitches,0.0003648572
lag25_velo,0.00036397128
lag25_n_pitches,0.0003611933
lag70_velo,0.00035969054
lag35_plate_x,0.00035203347
lag95_usage_CB,0.00035047697
lag40_usage_SL,0.0003470494
lag80_usage_FB,0.00034461933
lag50_usage_SI,0.00033585733
lag75_velo_FB,0.0003271022
lag20_n_pitches,0.00032219908
lag25_plate_z,0.00030084932
lag60_spin_SL,0.00028765417
lag95_spin_SL,0.0002828845
lag55_usage_CT,0.00028086267
lag55_spin_FB,0.00026771706
lag30_spin_CT,0.00025791166
lag25_usage_FB,0.00024244438
lag50_usage_CT,0.00023713084
lag90_velo_SI,0.00023254823
lag95_velo_FB,0.00021350812
lag40_spin_CT,0.0001784477
lag70_usage_SL,0.00016854232
lag40_usage_CT,4.8029695e-05
lag65_n_pitches,3.5130586e-05
lag40_spin_SP,3.0327803e-05
lag30_n_batters_faced,2.9628489e-05
lag55_is_start,0.0
lag55_n_batters_faced,0.0
lag25_usage_CB,0.0
lag50_spin_SP,0.0
lag75_spin_SL,0.0
lag75_velo_SL,0.0
lag75_spin_CT,0.0
lag75_usage_CT,0.0
lag50_velo_SP,0.0
lag50_usage_SP,0.0
lag50_appearances,0.0
lag50_is_start,0.0
lag75_usage_FB,0.0
lag25_is_start,0.0
lag50_outs_recorded,0.0
lag55_usage_CB,0.0
lag55_usage_SI,0.0
lag80_appearances,0.0
lag80_is_start,0.0
lag80_days_since_prev_game,0.0
lag80_outs_recorded,0.0
lag80_n_pitches,0.0
lag75_spin_SP,0.0
lag75_velo_SP,0.0
lag75_usage_SP,0.0
lag60_appearances,0.0
lag75_usage_CH,0.0
lag60_is_start,0.0
lag25_spin_SP,0.0
lag20_spin_SP,0.0
lag60_outs_recorded,0.0
lag60_n_batters_faced,0.0
lag55_spin_SP,0.0
lag80_spin_FB,0.0
lag55_usage_SP,0.0
lag80_spin,0.0
lag45_appearances,0.0
lag80_velo,0.0
lag45_is_start,0.0
lag60_velo_CB,0.0
lag60_spin_CT,0.0
lag60_usage_CT,0.0
lag60_velo_FB,0.0
lag40_usage_SP,0.0
lag25_appearances,0.0
lag40_velo_CT,0.0
lag85_is_start,0.0
lag40_appearances,0.0
lag85_n_batters_faced,0.0
lag40_n_batters_faced,0.0
lag80_spin_SP,0.0
lag80_velo_SP,0.0
lag80_usage_SP,0.0
lag80_spin_SL,0.0
lag35_spin_SP,0.0
lag65_velo,0.0
lag65_appearances,0.0
lag65_is_start,0.0
lag20_appearances,0.0
lag20_is_start,0.0
lag65_outs_recorded,0.0
lag85_spin_CT,0.0
lag85_usage_CT,0.0
lag85_spin_SI,0.0
lag60_spin_SP,0.0
lag85_spin,0.0
lag60_velo_SP,0.0
lag60_usage_SP,0.0
lag85_appearances,0.0
lag20_outs_recorded,0.0
lag65_velo_CT,0.0
lag65_usage_CT,0.0
lag15_spin_SP,0.0
lag15_velo_SP,0.0
lag15_usage_SP,0.0
lag65_usage_SI,0.0
lag65_spin,0.0
lag35_appearances,0.0
lag85_spin_SP,0.0
lag85_velo_SP,0.0
lag85_usage_SP,0.0
lag35_is_start,0.0
lag35_outs_recorded,0.0
lag85_spin_SL,0.0
lag35_n_batters_faced,0.0
lag70_appearances,0.0
lag70_is_start,0.0
lag70_outs_recorded,0.0
lag70_n_batters_faced,0.0
lag65_spin_SP,0.0
lag65_velo_SP,0.0
lag15_appearances,0.0
lag15_is_start,0.0
lag10_is_start,0.0
lag90_spin_CT,0.0
lag90_velo_CT,0.0
lag35_usage_SP,0.0
lag70_spin_CT,0.0
lag70_usage_CT,0.0
lag90_usage_SI,0.0
lag70_usage_SI,0.0
lag70_usage_FB,0.0
lag70_usage_SP,0.0
lag90_appearances,0.0
lag90_is_start,0.0
lag75_velo,0.0
lag10_usage_SP,0.0
lag75_appearances,0.0
lag75_is_start,0.0
lag95_velo_CT,0.0
lag45_spin_SP,0.0
lag45_usage_SP,0.0
lag70_spin_SP,0.0
lag50_usage_CB,0.0
lag70_velo_SP,0.0
lag45_spin_CT,0.0
lag10_appearances,0.0
lag50_spin_SI,0.0
lag05_usage_SP,0.0
lag00_appearances,0.0
lag95_spin_SP,0.0
lag95_velo_SP,0.0
lag95_usage_SP,0.0
lag95_spin_SI,0.0
lag95_spin_CT,0.0
lag30_appearances,0.0
lag30_is_start,0.0
lag95_velo_SI,0.0
lag95_n_pitches,0.0
lag90_spin_SP,0.0
lag90_velo_SP,0.0
lag90_usage_SP,0.0
lag90_usage_CB,0.0
lag95_velo,0.0
lag95_appearances,0.0
lag95_is_start,0.0
lag05_is_start,0.0
lag05_appearances,0.0
lag25_usage_SP,0.0
lag55_appearances,0.0
lag85_velo_FB,0.0
