model,cohort,n,n_positive,positive_rate,threshold,roc_auc,pr_auc,brier,log_loss,accuracy,precision,recall,f1,f2,mcc,seed,regression_mae_days
lstm,validation_all,24926,2087,0.0837278366088867,0.2796874168244275,0.6134128667552725,0.1206088767396354,0.1965692490339279,0.5611587762832642,0.4255395972077349,0.1034751037344398,0.7647340680402491,0.1822854205927702,0.3356890459363957,0.0908345081551673,62.0,24.9069938659668
lstm,test_all,17838,1875,0.1051126793026924,0.2796874168244275,0.5578563594980058,0.1273696711412361,0.226242184638977,0.6337268948554993,0.3703329969727548,0.1171753538990262,0.7637333333333334,0.2031782065834279,0.3630647533086557,0.0580140233720198,62.0,27.04033660888672
lstm,test_seen,11169,1131,0.1012624204158783,0.2796874168244275,0.5815563986823545,0.1348572944213608,0.2088240683078766,0.5965763330459595,0.4157041812158653,0.1178637200736648,0.735632183908046,0.2031746031746031,0.3591470258136924,0.0721193991479448,62.0,26.969343185424805
lstm,test_new,6669,744,0.1115609556436538,0.2796874168244275,0.5094953722607867,0.1199734526952345,0.2554133832454681,0.6959453821182251,0.2943469785575048,0.1162340178225494,0.8064516129032258,0.2031832035218422,0.3686409437208159,0.0274716148909227,62.0,27.14825820922852
lstm,test_bullpen,10947,1042,0.0951858982443809,0.2796874168244275,0.5528119341033484,0.1167681760605559,0.2108764797449112,0.5991311073303223,0.3814743765415182,0.1091554100150088,0.7677543186180422,0.1911360649862621,0.3479168478733582,0.0677490806033456,62.0,27.106847763061523
lstm,test_starter,6891,833,0.1208823099732399,0.2796874168244275,0.5550059905110938,0.1417939957606255,0.2506520450115204,0.6886854767799377,0.3526338702655637,0.1291905151267375,0.758703481392557,0.2207860262008733,0.3842412451361868,0.0398693484876945,62.0,26.95713424682617
vit,validation_all,24926,2087,0.0837278366088867,0.3703183197613918,0.6122638893495694,0.1103583151836262,0.2155536860227584,0.6164593696594238,0.4685067800690042,0.1101096904911618,0.7551509343555343,0.1921951219512195,0.3477339923216098,0.1106125551365246,42.0,23.309179306030277
vit,test_all,17838,1875,0.1051126793026924,0.3703183197613918,0.5499368957380608,0.1146925189404863,0.249037504196167,0.6873021721839905,0.3661284897410023,0.1171456405260594,0.7696,0.2033396744874233,0.3640629730547987,0.0586085924038847,42.0,25.711050033569336
vit,test_seen,11169,1131,0.1012624204158783,0.3703183197613918,0.5665475173121978,0.1146761038494761,0.241227701306343,0.6705621480941772,0.3908138597904915,0.116844522490882,0.7648099027409372,0.2027185376142488,0.3626226209440765,0.0724184272586967,42.0,25.04400062561035
vit,test_new,6669,744,0.1115609556436538,0.3703183197613918,0.5204728687446123,0.1151266816192987,0.2621171474456787,0.7153377532958984,0.3247863247863248,0.1175991861648016,0.7768817204301075,0.2042763739176533,0.3662400202762641,0.0321060494406527,42.0,26.72507095336914
vit,test_bullpen,10947,1042,0.0951858982443809,0.3703183197613918,0.5572445913723559,0.1057999950258293,0.250997394323349,0.6909534931182861,0.3585457202886635,0.1067859021567596,0.7792706333973128,0.1878325237103863,0.344886170574244,0.0596135680196901,42.0,25.66956901550293
vit,test_starter,6891,833,0.1208823099732399,0.3703183197613918,0.5428124369589368,0.1298912523103734,0.2459241151809692,0.6815016865730286,0.3781744304164853,0.1338565973695375,0.7575030012004802,0.2275103659635839,0.3921203082276908,0.0585658153043814,42.0,25.762937545776367
vit,validation_all,24926,2087,0.0837278366088867,0.3468328040808138,0.6065683991603649,0.1094154654227482,0.1758107841014862,0.5343714356422424,0.434847147556768,0.1078431372549019,0.7906085289889794,0.1897969747512509,0.3488667117726657,0.1097661245904988,52.0,24.48115921020508
vit,test_all,17838,1875,0.1051126793026924,0.3468328040808138,0.5652802104867506,0.1244161390011082,0.199826568365097,0.5862992405891418,0.3352393766117277,0.1178317127325625,0.8208,0.2060792715586502,0.3742522250863285,0.0685729635059038,52.0,25.80582046508789
vit,test_seen,11169,1131,0.1012624204158783,0.3468328040808138,0.5931648506673756,0.1296232271725732,0.1929693669080734,0.5713123083114624,0.3629689318649834,0.1180750574419198,0.8178603006189213,0.2063580591187953,0.374251497005988,0.0854159613541421,52.0,25.69116973876953
vit,test_new,6669,744,0.1115609556436538,0.3468328040808138,0.5167057982850143,0.1188471470511563,0.2113107591867447,0.6113988757133484,0.2887989203778677,0.117466998278171,0.8252688172043011,0.2056606933511974,0.3742533219553822,0.035716625105217,52.0,25.98010635375977
vit,test_bullpen,10947,1042,0.0951858982443809,0.3468328040808138,0.5709954742801334,0.111903925684064,0.1960185319185257,0.5778854489326477,0.3328765871928382,0.1071652654034383,0.8195777351247601,0.1895461103096215,0.3518167586718299,0.06677402483188,52.0,25.679536819458008
vit,test_starter,6891,833,0.1208823099732399,0.3468328040808138,0.5538931980847803,0.1416253049235392,0.2058759778738021,0.5996653437614441,0.338992889275867,0.1345247446975648,0.8223289315726291,0.2312236286919831,0.4065764482431149,0.0704069620956587,52.0,25.96378898620605
vit,validation_all,24926,2087,0.0837278366088867,0.0023735131200572,0.5755193124648104,0.1034734801176083,0.0937331318855285,0.4425001442432403,0.3687314450774291,0.0963085660198769,0.780067081935793,0.1714496340371755,0.3223507048946618,0.0659344116553381,62.0,24.843324661254883
vit,test_all,17838,1875,0.1051126793026924,0.0023735131200572,0.5184767775480799,0.1055180413965537,0.1207020953297615,0.5694169998168945,0.326381881376836,0.1109491291337374,0.7712,0.1939898041320096,0.352116105780938,0.0313409685899115,62.0,27.224241256713867
vit,test_seen,11169,1131,0.1012624204158783,0.0023735131200572,0.5524722676288107,0.1108258878202693,0.1133347079157829,0.5376765727996826,0.3594771241830065,0.1116698903932946,0.7656940760389036,0.1949133468377222,0.3526345793631403,0.0519952419784189,62.0,26.31312370300293
vit,test_new,6669,744,0.1115609556436538,0.0023735131200572,0.4586454788802686,0.0989799772810622,0.1330407410860061,0.6225748658180237,0.2709551656920078,0.1098901098901098,0.7795698924731183,0.1926270342079043,0.3513448025199903,-0.0103380123228441,62.0,28.60929107666016
vit,test_bullpen,10947,1042,0.0951858982443809,0.0023735131200572,0.5034124567266188,0.0925563317881813,0.1045827195048332,0.5067099928855896,0.3096738832556865,0.0977898505988393,0.7600767754318618,0.1732851985559566,0.3228173147468818,0.0149628108879674,62.0,27.441823959350582
vit,test_starter,6891,833,0.1208823099732399,0.0023735131200572,0.5371957630856898,0.1256007143450791,0.1463092118501663,0.6690330505371094,0.3529241039036424,0.1325496554519659,0.7851140456182473,0.2268076989769377,0.3955964190660537,0.0568291711109381,62.0,26.95207023620605
resnet,validation_all,24926,2087,0.0837278366088867,0.0701894838588707,0.6102363216543428,0.121809900615845,0.0757970809936523,0.2817490696907043,0.4370135601380085,0.1032283778397768,0.7446094873023479,0.1813196429613208,0.332022904025297,0.0869406576545382,42.0,23.68160820007324
